MNI	Label	Region
64	Pons_L	PONS left
65	Medulla_L	MEDULLA left
66	SPG_R	SUPERIOR PARIETAL GYRUS right
67	Cingulate_Gyrus_R	CINGULATE GYRUS right
68	SFG_R	SUPERIOR FRONTAL GYRUS right
69	MFG_R	MIDDLE FRONTAL GYRUS right
70	IFG_R	INFERIOR FRONTAL GYRUS right
71	PrCG_R	PRECENTRAL GYRUS right
72	PoCG_R	POSTCENTRAL GYRUS right
73	Angular_Gyrus_R	ANGULAR GYRUS right
74	Pre_Cuneus_R	PRE-CUNEUS right
75	Cuneus_R	CUNEUS right
76	Lingual_Gyrus_R	LINGUAL GYRUS right
77	Fusiform_Gyrus_R	FUSIFORM GYRUS right
78	PHG_R	PARAHIPPOCAMPAL GYRUS right
79	SOG_R	SUPERIOR OCCIPITAL GYRUS right
80	IOG_R	INFERIOR OCCIPITAL GYRUS right
81	MOG_R	MIDDLE OCCIPITAL GYRUS right
82	Entorhinal_Area_R	ENTORHINAL AREA right
83	STG_R	SUPERIOR TEMPORAL GYRUS right
84	ITG_R	INFERIOR TEMPORAL GYRUS right
85	MTG_R	MIDDLE TEMPORAL GYRUS right
86	LFOG_R	LATERAL FRONTO-ORBITAL GYRUS right
87	MFOG_R	MIDDLE FRONTO-ORBITAL GYRUS right
88	SMG_R	SUPRAMARGINAL GYRUS right
89	Gyrus_Rectus_R	GYRUS RECTUS right
90	Insular_R	INSULAR right
91	Amygdala_R	AMYGDALA right
92	Hippocampus_R	HIPPOCAMPUS right
93	Cerebellum_R	CEREBELLUM right
94	CST_R	Corticospinal tract right
95	ICP_R	Inferior cerebellar peduncle right
96	ML_R	Medial lemniscus right
97	SCP_R	Superior cerebellar peduncle right
98	CP_R	Cerebral peduncle right
99	ALIC_R	Anterior limb of internal capsule right
100	PLIC_R	Posterior limb of internal capsule right
101	PTR_R	Posterior thalamic radiation (include optic radiation) right
102	ACR_R	Anterior corona radiata right
103	SCR_R	Superior corona radiata right
104	PCR_R	Posterior corona radiata right
105	CGC_R	Cingulum (cingulate gyrus) right
106	CGH_R	Cingulum (hippocampus) right
107	Fx/ST_R	Fornix (cres) / Stria terminalis (can not be resolved with current resolution) right
108	SLF_R	Superior longitudinal fasciculus right
109	SFO_R	Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) right
110	IFO_R	Inferior fronto-occipital fasciculus right
111	SS_R	Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) right
112	EC_R	External capsule right
113	UNC_R	Uncinate fasciculus right
114	PCT_R	Pontine crossing tract (a part of MCP) right
115	MCP_R	Middle cerebellar peduncle right
116	Fornix_R	Fornix (column and body of fornix) right
117	Genu_CC_R	Genu of corpus callosum right
118	Body_CC_R	Body of corpus callosum right
119	Splenius_CC_R	Splenium of corpus callosum right
120	RLIC_R	Retrolenticular part of internal capsule right
121	RedNucleus_R	Red Nucleus right
122	SNigra_R	Substancia Nigra right
123	Tapetum_R	Tapatum right
124	Caudate_R	CAUDATE NUCLEUS right
125	Putamen_R	PUTAMEN right
126	Thalamus_R	THALAMUS right
127	GP_R	GLOBUS PALLIDUS right
128	Midbrain_R	MIDBRAIN right
129	Pons_R	PONS right
130	Medulla_R	MEDULLA right
131	AnteriorCom_L	Anterior commissure left
132	AntteriorCom_R	Anterior commissure right
133	AnsaLenticularis_L 	Ansa lenticularis left
134	AnsaLenticularis_R	Ansa lenticularis right
135	OpticTract_L	Optic tract left
136	OpticTract_R	Optic tract right
137	LenticularFasc_L	Lenticular fasciculus left
138	LenticularFasc_R	Lenticular fasciculus right
139	Mammillary_L	Mammillary body left
140	Mammillary_R	Mammillary body right
141	NucAccumbens_L	Nucleus accumbens left
142	NucAccumbens_R	Nucleus accumbens right
143	SubstriatumWM_L	Sub-striatum white matter  left
144	SubstriatumWM_R	Sub-striatum white matter  right
145	Mynert_L	Nucleus innominata of Mynert left
146	Mynert_R	Nucleus innominata of Mynert right
147	Hypothalamus_L	Hypothalamus left
148	Hypothalamus_R	Hypothalamus right
149	LVL_frontal_L	LVL_frontal left
150	LVL_frontal_R	LVL_frontal right
151	LVL_body_L	LVL_body left
152	LVL_body_R	LVL_body right
153	LVL_atrium_L	LVL_atrium left
154	LVL_atrium_R	LVL_atrium right
155	LVL_posterior_L	LVL_posterior left
156	LVL_posterior_R	LVL_posterior right
157	LVL_inferior_L	LVL_inferior left
158	LVL_inferior_R	LVL_inferior right
159	3_and_4_ventricle	3rd and 4th ventricle
